year;CO2 ppm;methane ppb;N2O ppb
-797446.0;;399.0;
-796562.0;191.0;;
-796475.0;;;254.0
-796467.0;;458.0;
-795327.0;;396.0;
-795149.0;188.4;;
-794517.0;189.3;;
-794430.0;;;249.0
-794370.0;;418.0;
-793252.0;195.2;;
-792988.0;;428.0;
-792658.0;199.4;;
-792569.0;;;239.0
-792450.0;;420.0;
-791646.0;;451.0;
-791310.0;209.0;;
-790993.0;204.0;;
-790916.0;;;239.0
-790877.0;;470.0;
-790131.0;205.1;;
-790045.0;;466.0;
-789541.0;215.4;;
-789474.0;;;250.0
-789427.0;;503.0;
-788740.0;;483.0;
-788588.0;221.3;;
-788203.0;218.2;;
-788110.0;;;253.0
-788088.0;;540.0;
-787431.0;226.3;;
-787312.0;;543.0;
-786937.0;229.5;;
-786882.0;;;253.0
-786865.0;;562.0;
-786173.0;;589.0;
-786083.0;247.9;;
-785855.0;248.1;;
-785730.0;;;266.0
-785723.0;;659.0;
-785126.0;256.9;;
-784988.0;;713.0;
-784699.0;;699.0;
-784637.0;260.3;;
-784590.0;;739.0;
-784579.0;;;303.0
-784540.0;;723.0;
-784010.0;;677.0;
-783839.0;255.4;;
-783463.0;253.3;;
-783436.0;;686.0;
-783424.0;;;282.0
-782742.0;250.7;;
-782690.0;;639.0;
-782197.0;246.9;;
-782158.0;;653.0;
-782151.0;;;269.0
-781478.0;;618.0;
-781313.0;252.1;;
-780901.0;;639.0;
-780880.0;;;270.0
-780109.0;246.2;;
-780007.0;;623.0;
-779683.0;;633.0;
-779646.0;;;280.0
-779585.0;248.7;;
-778795.0;;630.0;
-778662.0;242.8;;
-778318.0;248.5;;
-778158.0;;;254.0
-778145.0;;616.0;
-777414.0;243.9;;
-777333.0;;598.0;
-776848.0;245.8;;
-776810.0;;614.0;
-776797.0;;;254.0
-776082.0;;681.0;
-775950.0;246.1;;
-775606.0;246.3;;
-775460.0;;658.0;
-775440.0;;;269.0
-774686.0;243.9;;
-774605.0;;601.0;
-774087.0;238.8;;
-774044.0;;618.0;
-774034.0;;;273.0
-773296.0;;577.0;
-773101.0;240.5;;
-772598.0;236.9;;
-772575.0;;583.0;
-772548.0;;;260.0
-771730.0;233.3;;
-771682.0;;549.0;
-771093.0;230.0;;
-771049.0;;566.0;
-771046.0;;;271.0
-770249.0;;530.0;
-770126.0;230.9;;
-770082.0;;;247.0
-770064.0;;539.0;
-769885.0;;;267.0
-769879.0;;543.0;
-769758.0;229.5;;
-769596.0;;;260.0
-769591.0;;556.0;
-769310.0;237.7;;
-769258.0;;;275.0
-769255.0;;639.0;
-769044.0;235.6;;
-768987.0;;;271.0
-768981.0;;647.0;
-768774.0;238.2;;
-768652.0;;632.0;
-768497.0;235.6;;
-768353.0;;;271.0
-768344.0;;630.0;
-768183.0;231.5;;
-768130.0;;622.0;283.0
-767837.0;226.0;;
-767777.0;;616.0;
-767754.0;;;287.0
-767630.0;;587.0;
-767600.0;;;279.0
-767564.0;228.1;;
-767350.0;;570.0;
-767100.0;221.4;;
-766741.0;;568.0;
-766705.0;222.4;;
-766626.0;;;283.0
-765787.0;217.7;;
-765671.0;;486.0;
-765146.0;213.5;;
-765121.0;;519.0;
-765097.0;;;250.0
-764296.0;;467.0;
-764160.0;215.7;;
-763978.0;;;241.0
-763936.0;;462.0;
-763785.0;216.8;;
-763635.0;;;260.0
-763555.0;;470.0;
-763314.0;;;265.0
-763272.0;;500.0;
-763167.0;;;268.0
-763134.0;;535.0;
-762883.0;222.6;;
-762798.0;;518.0;
-762635.0;;563.0;
-762634.0;;;286.0
-762299.0;224.1;;
-762222.0;;;293.0
-762193.0;;549.0;
-761984.0;221.4;;
-761874.0;;;289.0
-761868.0;;556.0;
-761736.0;225.7;;
-761513.0;;538.0;
-761369.0;215.0;;
-760921.0;216.0;;
-760877.0;;521.0;
-760856.0;;;280.0
-760114.0;212.0;;
-760089.0;;474.0;
-759624.0;;473.0;
-759503.0;206.1;;
-758686.0;;454.0;
-758550.0;206.9;;
-758252.0;208.8;;
-758079.0;;;250.0
-758065.0;;462.0;
-757356.0;214.9;;
-757250.0;;434.0;
-756933.0;217.9;;
-756890.0;;;252.0
-756867.0;;421.0;
-756525.0;217.6;;
-756467.0;;;274.0
-756432.0;;486.0;
-756309.0;215.3;;
-756240.0;;;279.0
-756193.0;;498.0;
-756050.0;;498.0;
-756012.0;219.2;;
-755611.0;215.0;;
-755558.0;;505.0;
-755556.0;;;290.0
-755266.0;;480.0;
-755262.0;;;274.0
-755045.0;;473.0;
-755043.0;;;287.0
-754921.0;210.7;;
-754836.0;;439.0;
-754407.0;206.0;;
-754371.0;;419.0;
-754364.0;;;265.0
-753665.0;;445.0;
-753545.0;201.9;;
-753291.0;200.5;;
-753190.0;;429.0;
-753097.0;;;252.0
-752444.0;195.8;;
-752399.0;;406.0;
-752070.0;;410.0;
-752034.0;191.5;;
-751991.0;;;230.0
-751028.0;196.5;;
-750655.0;188.0;;
-750618.0;;431.0;
-750612.0;;;231.0
-749880.0;190.1;;
-749805.0;;401.0;
-749351.0;186.2;;
-749308.0;;;241.0
-749304.0;;428.0;
-748653.0;;408.0;
-748526.0;184.0;;
-748244.0;184.8;;
-748096.0;;;246.0
-748095.0;;400.0;
-747451.0;182.9;;
-747370.0;;378.0;
-746963.0;181.4;;
-746921.0;;;250.0
-746920.0;;409.0;
-746283.0;;392.0;
-746151.0;180.4;;
-745809.0;180.8;;
-745766.0;;405.0;
-745764.0;;;239.0
-745160.0;180.8;;
-745100.0;;402.0;
-744693.0;183.1;;
-744653.0;;428.0;
-744646.0;;;238.0
-744055.0;;415.0;
-743886.0;180.2;;
-743522.0;;432.0;
-743515.0;;;235.0
-742893.0;182.0;;
-742824.0;;421.0;
-742404.0;181.2;;
-742362.0;;422.0;
-742357.0;;;239.0
-741756.0;;439.0;
-741639.0;180.4;;
-741283.0;181.7;;
-741257.0;;422.0;
-741217.0;;;231.0
-740608.0;182.3;;
-740553.0;;402.0;
-740125.0;177.9;;
-740121.0;;409.0;
-740089.0;;;242.0
-739473.0;;388.0;
-739357.0;176.6;;
-739071.0;178.6;;
-738939.0;;;252.0
-738918.0;;414.0;
-738327.0;178.9;;
